subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
100,Weather-Related Illness,2174,Cold stress: hospitalizations,Cold hospitalizations,Cold stress: hospitalizations,"Hospitalizations for cold-related illnesses, such as hypothermia and frostbite, represent part of the public health burden of cold weather. Cold weather can also make chronic conditions worse.",
100,Weather-Related Illness,2084,Heat events,Heat events,Heat events,"Heat events threaten health. More people die due to extreme heat than all other extreme weather events combined. As the climate continues to warm, we can expect more severe and more frequent heat events.",
100,Weather-Related Illness,2074,Heat stress: deaths,Heat deaths,Heat stress: deaths,"Hot weather kills more people than all other extreme weather combined. This measure includes only deaths directly attributed to heat on death certificates, which represent a small proportion of all heat-related deaths.",
100,Weather-Related Illness,2075,Heat stress: emergency department visits,Heat ED visits,Heat stress: emergency department visits,"ED visits due to heat-related illnesses, such as heat stroke and heat exhaustion, represent part of the public health burden of extreme heat.",
100,Weather-Related Illness,2076,Heat stress: hospitalizations,Heat hospitalizations,Heat stress: hospitalizations,"Heat stress hospitalizations due to heat-related illnesses, such as heat stroke and heat exhaustion, represent part of the public health burden of hot weather. Data aggregated over five years provides enough stability to display neighborhood impacts.
",
100,Weather-Related Illness,2191,Heat vulnerability index,Heat Vulnerability Index,Heat vulnerability index,"The HVI shows differences in community-level heat mortality impacts due to extreme heat events. It includes data on surface temperature, green space, air conditioning access, poverty, and the percent of Black New Yorkers, who are most excluded from heat resources. Differences in community-level heat impacts by race stem from structural racism, which limits access to preventive resources.",
100,Weather-Related Illness,2411,Heat vulnerability index by neighborhood tabulation area (NTA),Heat Vulnerability Index,Heat vulnerability index by neighborhood tabulation area (NTA),"The HVI shows differences in community-level heat mortality impacts due to extreme heat events. It includes data on surface temperature, green space, air conditioning access, poverty, and the percent of Black New Yorkers, who are most excluded from heat resources. Differences in community-level heat impacts by race stem from structural racism, which limits access to preventive resources.",
,,,,,,<p>&nbsp;</p>,
115,Worker Health,2209,Elevated Blood Lead Levels among Persons Aged 16 or Older,,Elevated&nbsp;Blood Lead Levels among&nbsp;&nbsp;Persons Aged 16 or Older,"<p>In New York City, the most common cause of <a href=""http://www1.nyc.gov/site/doh/health/health-topics/lead-poisoning-prevention.page"" target=""_blank"">lead poisoning</a> in non-pregnant adults is from occupational exposure in the construction industry. Workers are exposed by breathing in or ingesting lead dust or fumes during renovations, repairs and demolitions that disturb old, lead based paint. Workers in other industries, as well as hobbyists, may be at risk if they work with lead-containing metal, paint, pigments, ceramic glazes or bullets. Adults can also be exposed to lead through the use of <a href=""http://www1.nyc.gov/site/doh/health/health-topics/lead-poisoning-hazardous-consumer-products.page"" target=""_blank"">lead-contaminated products</a>, such as certain imported health remedies or medicines, spices, foods, pottery and cosmetics.</p>",
,,,,,,<p>&nbsp;</p>,
115,Worker Health,2211,Hospitalizations Billed to Workers Compensation,,Hospitalizations Billed to Workers&rsquo; Compensation,"<p><a href=""http://www.wcb.ny.gov/content/main/Workers/Workers.jsp"" target=""_blank"">Workers&rsquo; compensation</a> is a type of insurance that provides medical care for workers who are injured or become ill as a direct result of their job. Hospitalizations billed to <a href=""https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5929a1.htm"" target=""_blank"">workers' compensation</a> represent only a portion of work-related injuries that require hospital care. It is important to realize that workers&rsquo; compensation policies vary from state-to-state with respect to the types of workers covered and the types of injuries and illnesses eligible for compensation.</p>",
115,Worker Health,2208,Hospitalizations for Asbestosis,,Hospitalizations for Asbestosis,"<p><a href=""http://www1.nyc.gov/site/doh/health/health-topics/asbestos.page"" target=""_blank"">Asbestos </a>is a naturally-occurring mineral which was commonly used as an insulation material until the 1970s. Inhaling high concentrations of asbestos fibers over a long time can produce lung inflammation and scarring resulting in the chronic lung disease called asbestosis, a type of pneumoconiosis. New York City construction, insulation, and shipyard workers who installed, disturbed, or removed asbestos without respiratory protection are at risk. Additionally, smokers who are exposed to asbestos have a greater risk of developing asbestos-related diseases than non-smokers. &nbsp;</p>",
,,,,,,<p>&nbsp;</p>,
,,,,,,"<p>Typically it takes more than ten years from the time of exposure before symptoms develop. The use of proper protective masks is key to preventing the disease, since there is no treatment for this condition.</p>",
115,Worker Health,2210,Hospitalizations for Pneumoconiosis,,Hospitalizations for Pneumoconiosis,"<p><a href=""http://www.lung.org/lung-health-and-diseases/lung-disease-lookup/pneumoconiosis/"" target=""_blank"">Pneumoconiosis</a> is a general term given to any lung disease caused by breathing in certain particles or fibers over a prolonged period. Pneumoconiosis usually results from a workplace exposure&nbsp; The most common causes of pneumoconiosis include asbestos fibers (<a href=""http://www1.nyc.gov/site/doh/health/health-topics/asbestos.page"" target=""_blank"">asbestosis</a>), silica dust (<a href=""http://www.lung.org/lung-health-and-diseases/lung-disease-lookup/silicosis/?referrer=https://www.google.com/"" target=""_blank"">silicosis</a>), and coal dust (<a href=""https://www.cdc.gov/niosh/topics/cwhsp/coalminingrelatedrespiratorydiseases.html"" target=""_blank"">coal workers&rsquo; pneumoconiosis</a> or &ldquo;Black Lung Disease&rdquo;). There is no cure, but it can be prevented with appropriate respiratory protection.</p>",
115,Worker Health,2073,Perception of Neighborhood Safety,Neighborhood safety,Perception of Neighborhood Safety,"Whether people perceive their neighborhood as safe can affect whether they will spend time outside, use parks, and use active and sustainable forms of transportation. It can also affect mental well-being.",
115,Worker Health,2214,Work-Related Deaths across All Industries,,Work-Related Deaths across All Industries,"<p>Fatal work-related injuries include deaths resulting from unintentional injuries such as falls, acute poisonings, and motor vehicle crashes that occur during travel for work, and intentional injuries (i.e., homicides and suicides) that occur at work.&nbsp;Fatal injuries that occur during a person&rsquo;s commute to or from work are not included.</p>",
,,,,,,<p>&nbsp;</p>,
,,,,,,"<p>Data on work-related deaths are compiled by the&nbsp;Bureau of Labor Statistics (BLS) <a href=""https://www.bls.gov/iif/oshfat1.htm"" target=""_blank"">Census of Fatal Occupational Injuries</a> (CFOI). CFOI produces statistics on fatal work-related injuries&nbsp;by cross-referencing multiple sources, such as death certificates, workers' compensation reports, and Occupational Safety and Health Administration (OSHA) investigation reports.</p>",
115,Worker Health,2239,Work-Related Deaths in the Construction Industry by Borough,,Work-Related Deaths in the Construction Industry by Borough of Injury.,"<p>The New York City workforce is a diverse one and workplace risks are not distributed equally.&nbsp;Construction is the most dangerous industry in NYC, accounting for nearly a third of work-related injury&nbsp;deaths each year.</p>",
115,Worker Health,2215,Work-Related Deaths in the Construction Industry Citywide,,Work-Related Deaths in the Construction Industry Citywide,"<p>The New York City workforce is a diverse one and workplace risks are not distributed equally.&nbsp;Construction is the most dangerous industry in NYC, accounting for nearly a third of work-related injury&nbsp;deaths each year.&nbsp;Falls from scaffolds,&nbsp;ladders&nbsp;and roofs&nbsp;are the most common cause of&nbsp;<a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/survey/construction-fatalities.pdf"" target=""_blank"">fatal injuries among&nbsp;construction workers</a>.</p>",
